profile,approach,metric,statistic,value,unit,n,comparison_basis
Vegetarian,LP-Food,Carboidrato disponível,relative_change_from_base_percent,4.165776,percent,1,same-profile Base mean
Vegetarian,LP-Meal,Carboidrato disponível,mean_daily,254.3826,g/day,1,diet files used by the main submitted tables
Vegetarian,LP-Meal,Carboidrato disponível,relative_change_from_base_percent,10.117552,percent,1,same-profile Base mean
Vegetarian,Base,Colesterol,mean_daily,463.770248,mg/day,50,diet files used by the main submitted tables
Vegetarian,GA-Food,Colesterol,mean_daily,197.521,mg/day,1,diet files used by the main submitted tables
Vegetarian,GA-Food,Colesterol,relative_change_from_base_percent,-57.40973,percent,1,same-profile Base mean
Vegetarian,GA-Meal,Colesterol,mean_daily,272.2994,mg/day,1,diet files used by the main submitted tables
Vegetarian,GA-Meal,Colesterol,relative_change_from_base_percent,-41.285712,percent,1,same-profile Base mean
Vegetarian,LP-Food,Colesterol,mean_daily,22.3002,mg/day,1,diet files used by the main submitted tables
Vegetarian,LP-Food,Colesterol,relative_change_from_base_percent,-95.191541,percent,1,same-profile Base mean
Vegetarian,LP-Meal,Colesterol,mean_daily,284.1612,mg/day,1,diet files used by the main submitted tables
Vegetarian,LP-Meal,Colesterol,relative_change_from_base_percent,-38.728023,percent,1,same-profile Base mean
Vegetarian,Base,Cálcio,mean_daily,1229.632436,mg/day,50,diet files used by the main submitted tables
Vegetarian,GA-Food,Cálcio,mean_daily,1366.9922,mg/day,1,diet files used by the main submitted tables
Vegetarian,GA-Food,Cálcio,relative_change_from_base_percent,11.170799,percent,1,same-profile Base mean
Vegetarian,GA-Meal,Cálcio,mean_daily,1532.2592,mg/day,1,diet files used by the main submitted tables
Vegetarian,GA-Meal,Cálcio,relative_change_from_base_percent,24.611157,percent,1,same-profile Base mean
Vegetarian,LP-Food,Cálcio,mean_daily,999.73343,mg/day,1,diet files used by the main submitted tables
Vegetarian,LP-Food,Cálcio,relative_change_from_base_percent,-18.696563,percent,1,same-profile Base mean
Vegetarian,LP-Meal,Cálcio,mean_daily,1719.1986,mg/day,1,diet files used by the main submitted tables
Vegetarian,LP-Meal,Cálcio,relative_change_from_base_percent,39.814025,percent,1,same-profile Base mean
Vegetarian,Base,Energia,mean_daily,2046.58284,kcal/day,50,diet files used by the main submitted tables
Vegetarian,GA-Food,Energia,mean_daily,2034.75,kcal/day,1,diet files used by the main submitted tables
Vegetarian,GA-Food,Energia,relative_change_from_base_percent,-0.578175,percent,1,same-profile Base mean
Vegetarian,GA-Meal,Energia,mean_daily,2119.84,kcal/day,1,diet files used by the main submitted tables
Vegetarian,GA-Meal,Energia,relative_change_from_base_percent,3.579487,percent,1,same-profile Base mean
Vegetarian,LP-Food,Energia,mean_daily,2099.428,kcal/day,1,diet files used by the main submitted tables
Vegetarian,LP-Food,Energia,relative_change_from_base_percent,2.582117,percent,1,same-profile Base mean
Vegetarian,LP-Meal,Energia,mean_daily,2103.5,kcal/day,1,diet files used by the main submitted tables
Vegetarian,LP-Meal,Energia,relative_change_from_base_percent,2.781083,percent,1,same-profile Base mean
Vegetarian,Base,Ferro,mean_daily,14.426906,mg/day,50,diet files used by the main submitted tables
Vegetarian,GA-Food,Ferro,mean_daily,18.1746,mg/day,1,diet files used by the main submitted tables
Vegetarian,GA-Food,Ferro,relative_change_from_base_percent,25.977112,percent,1,same-profile Base mean
Vegetarian,GA-Meal,Ferro,mean_daily,24.8603,mg/day,1,diet files used by the main submitted tables
Vegetarian,GA-Meal,Ferro,relative_change_from_base_percent,72.318994,percent,1,same-profile Base mean
Vegetarian,LP-Food,Ferro,mean_daily,15.96752,mg/day,1,diet files used by the main submitted tables
Vegetarian,LP-Food,Ferro,relative_change_from_base_percent,10.678752,percent,1,same-profile Base mean
Vegetarian,LP-Meal,Ferro,mean_daily,29.2984,mg/day,1,diet files used by the main submitted tables
Vegetarian,LP-Meal,Ferro,relative_change_from_base_percent,103.081653,percent,1,same-profile Base mean
Vegetarian,Base,Fibra alimentar,mean_daily,35.822696,g/day,50,diet files used by the main submitted tables
Vegetarian,GA-Food,Fibra alimentar,mean_daily,57.5586,g/day,1,diet files used by the main submitted tables
Vegetarian,GA-Food,Fibra alimentar,relative_change_from_base_percent,60.676351,percent,1,same-profile Base mean
Vegetarian,GA-Meal,Fibra alimentar,mean_daily,59.0707,g/day,1,diet files used by the main submitted tables
Vegetarian,GA-Meal,Fibra alimentar,relative_change_from_base_percent,64.897418,percent,1,same-profile Base mean
Vegetarian,LP-Food,Fibra alimentar,mean_daily,72.72159,g/day,1,diet files used by the main submitted tables
Vegetarian,LP-Food,Fibra alimentar,relative_change_from_base_percent,103.004237,percent,1,same-profile Base mean
Vegetarian,LP-Meal,Fibra alimentar,mean_daily,50.305,g/day,1,diet files used by the main submitted tables
Vegetarian,LP-Meal,Fibra alimentar,relative_change_from_base_percent,40.427735,percent,1,same-profile Base mean
Vegetarian,Base,Lipídios,mean_daily,81.823851,g/day,50,diet files used by the main submitted tables
Vegetarian,GA-Food,Lipídios,mean_daily,60.1798,g/day,1,diet files used by the main submitted tables
Vegetarian,GA-Food,Lipídios,relative_change_from_base_percent,-26.452007,percent,1,same-profile Base mean
Vegetarian,GA-Meal,Lipídios,mean_daily,68.317,g/day,1,diet files used by the main submitted tables
Vegetarian,GA-Meal,Lipídios,relative_change_from_base_percent,-16.507229,percent,1,same-profile Base mean
Vegetarian,LP-Food,Lipídios,mean_daily,61.08976,g/day,1,diet files used by the main submitted tables
Vegetarian,LP-Food,Lipídios,relative_change_from_base_percent,-25.339911,percent,1,same-profile Base mean
Vegetarian,LP-Meal,Lipídios,mean_daily,60.2634,g/day,1,diet files used by the main submitted tables
Vegetarian,LP-Meal,Lipídios,relative_change_from_base_percent,-26.349836,percent,1,same-profile Base mean
Vegetarian,Base,Pegada de Carbono,mean_daily,2481.10736,gCO2eq/day,50,diet files used by the main submitted tables
Vegetarian,GA-Food,Pegada de Carbono,mean_daily,2418.07,gCO2eq/day,1,diet files used by the main submitted tables
Vegetarian,GA-Food,Pegada de Carbono,relative_change_from_base_percent,-2.540695,percent,1,same-profile Base mean
Vegetarian,GA-Meal,Pegada de Carbono,mean_daily,2500.03,gCO2eq/day,1,diet files used by the main submitted tables
Vegetarian,GA-Meal,Pegada de Carbono,relative_change_from_base_percent,0.762669,percent,1,same-profile Base mean
Vegetarian,LP-Food,Pegada de Carbono,mean_daily,112.402,gCO2eq/day,1,diet files used by the main submitted tables
Vegetarian,LP-Food,Pegada de Carbono,relative_change_from_base_percent,-95.469684,percent,1,same-profile Base mean
Vegetarian,LP-Meal,Pegada de Carbono,mean_daily,2408.58,gCO2eq/day,1,diet files used by the main submitted tables
Vegetarian,LP-Meal,Pegada de Carbono,relative_change_from_base_percent,-2.923185,percent,1,same-profile Base mean
Vegetarian,Base,Proteína,mean_daily,78.978034,g/day,50,diet files used by the main submitted tables
Vegetarian,GA-Food,Proteína,mean_daily,83.1416,g/day,1,diet files used by the main submitted tables
Vegetarian,GA-Food,Proteína,relative_change_from_base_percent,5.271803,percent,1,same-profile Base mean
Vegetarian,GA-Meal,Proteína,mean_daily,86.3716,g/day,1,diet files used by the main submitted tables
Vegetarian,GA-Meal,Proteína,relative_change_from_base_percent,9.361547,percent,1,same-profile Base mean
Vegetarian,LP-Food,Proteína,mean_daily,109.95407,g/day,1,diet files used by the main submitted tables
Vegetarian,LP-Food,Proteína,relative_change_from_base_percent,39.221078,percent,1,same-profile Base mean
Vegetarian,LP-Meal,Proteína,mean_daily,111.7076,g/day,1,diet files used by the main submitted tables
Vegetarian,LP-Meal,Proteína,relative_change_from_base_percent,41.441353,percent,1,same-profile Base mean
Vegetarian,Base,Sódio,mean_daily,2338.36956,mg/day,50,diet files used by the main submitted tables
Vegetarian,GA-Food,Sódio,mean_daily,2371.0204,mg/day,1,diet files used by the main submitted tables
